group,subject,isi,hits,false_alarms,n_signal,n_noise,hit_rate,fa_rate,d_prime
US,PRO24csv:2jqwz6g8t25,32,3,10,4,91,0.75,0.10989010989010989,1.901602491116797
US,PRO24csv:2jqwz6g8t25,64,3,10,4,91,0.75,0.10989010989010989,1.901602491116797
US,PRO24csv:2p89zkqh1au,0,4,27,4,90,1.0,0.3,2.8507483867488816
US,PRO24csv:2p89zkqh1au,1,4,27,4,90,1.0,0.3,2.8507483867488816
US,PRO24csv:2p89zkqh1au,2,4,27,5,90,0.8,0.3,1.3660217462809552
US,PRO24csv:2p89zkqh1au,3,3,27,4,90,0.75,0.3,1.1988902629041225
US,PRO24csv:2p89zkqh1au,4,7,27,8,90,0.875,0.3,1.6747498930840488
US,PRO24csv:2p89zkqh1au,8,3,27,4,90,0.75,0.3,1.1988902629041225
US,PRO24csv:2p89zkqh1au,16,5,27,5,90,1.0,0.3,2.8507483867488816
US,PRO24csv:2p89zkqh1au,32,4,27,4,90,1.0,0.3,2.8507483867488816
US,PRO24csv:2p89zkqh1au,64,5,27,5,90,1.0,0.3,2.8507483867488816
US,PRO24csv:2pjse2e3lwa,0,5,13,5,89,1.0,0.14606741573033707,3.379797802382231
US,PRO24csv:2pjse2e3lwa,1,4,13,4,89,1.0,0.14606741573033707,3.379797802382231
US,PRO24csv:2pjse2e3lwa,2,4,13,6,89,0.6666666666666666,0.14606741573033707,1.4841772276368472
US,PRO24csv:2pjse2e3lwa,3,1,13,4,89,0.25,0.14606741573033707,0.37896017814530814
US,PRO24csv:2pjse2e3lwa,4,4,13,4,89,1.0,0.14606741573033707,3.379797802382231
US,PRO24csv:2pjse2e3lwa,8,3,13,6,89,0.5,0.14606741573033707,1.0534499283413898
US,PRO24csv:2pjse2e3lwa,16,3,13,6,89,0.5,0.14606741573033707,1.0534499283413898
US,PRO24csv:2pjse2e3lwa,32,2,13,5,89,0.4,0.14606741573033707,0.8001028252055902
US,PRO24csv:2pjse2e3lwa,64,3,13,4,89,0.75,0.14606741573033707,1.7279396785374717
US,PRO24csv:2puj8d7w2lo,0,5,19,5,89,1.0,0.21348314606741572,3.120741537113758
US,PRO24csv:2puj8d7w2lo,1,5,19,5,89,1.0,0.21348314606741572,3.120741537113758
US,PRO24csv:2puj8d7w2lo,2,4,19,4,89,1.0,0.21348314606741572,3.120741537113758
US,PRO24csv:2puj8d7w2lo,3,5,19,5,89,1.0,0.21348314606741572,3.120741537113758
US,PRO24csv:2puj8d7w2lo,4,5,19,5,89,1.0,0.21348314606741572,3.120741537113758
US,PRO24csv:2puj8d7w2lo,8,2,19,4,89,0.5,0.21348314606741572,0.7943936630729174
US,PRO24csv:2puj8d7w2lo,16,4,19,7,89,0.5714285714285714,0.21348314606741572,0.9744060328656223
US,PRO24csv:2puj8d7w2lo,32,4,19,5,89,0.8,0.21348314606741572,1.6360148966458317
US,PRO24csv:2puj8d7w2lo,64,1,19,4,89,0.25,0.21348314606741572,0.11990391287683566
US,PRO24csv:2x51031b1m0,0,6,55,6,175,1.0,0.3142857142857143,2.8100864270869437
US,PRO24csv:2x51031b1m0,1,4,55,4,175,1.0,0.3142857142857143,2.8100864270869437
US,PRO24csv:2x51031b1m0,2,5,55,5,175,1.0,0.3142857142857143,2.8100864270869437
US,PRO24csv:2x51031b1m0,3,9,55,10,175,0.9,0.3142857142857143,1.7652901185907035
US,PRO24csv:2x51031b1m0,4,5,55,7,175,0.7142857142857143,0.3142857142857143,1.0496873749789661
US,PRO24csv:2x51031b1m0,8,3,55,6,175,0.5,0.3142857142857143,0.48373855304610314
US,PRO24csv:2x51031b1m0,16,9,55,10,175,0.9,0.3142857142857143,1.7652901185907035
US,PRO24csv:2x51031b1m0,32,7,55,9,175,0.7777777777777778,0.3142857142857143,1.2484482268324903
US,PRO24csv:2x51031b1m0,64,5,55,8,175,0.625,0.3142857142857143,0.8023779170104783
US,PRO24csv:3chrb99z00k,0,4,34,4,91,1.0,0.37362637362637363,2.6486118160718872
US,PRO24csv:3chrb99z00k,1,6,34,6,91,1.0,0.37362637362637363,2.6486118160718872
US,PRO24csv:3chrb99z00k,2,4,34,4,91,1.0,0.37362637362637363,2.6486118160718872
US,PRO24csv:3chrb99z00k,3,4,34,5,91,0.8,0.37362637362637363,1.1638851756039608
US,PRO24csv:3chrb99z00k,4,5,34,5,91,1.0,0.37362637362637363,2.6486118160718872
US,PRO24csv:3chrb99z00k,8,6,34,6,91,1.0,0.37362637362637363,2.6486118160718872
US,PRO24csv:3chrb99z00k,16,2,34,4,91,0.5,0.37362637362637363,0.32226394203104647
US,PRO24csv:3chrb99z00k,32,3,34,4,91,0.75,0.37362637362637363,0.9967536922271282
US,PRO24csv:3chrb99z00k,64,3,34,4,91,0.75,0.37362637362637363,0.9967536922271282
US,PRO24csv:3g217qru2lz,0,5,33,5,89,1.0,0.3707865168539326,2.6561188312402497
US,PRO24csv:3g217qru2lz,1,5,33,5,89,1.0,0.3707865168539326,2.6561188312402497
US,PRO24csv:3g217qru2lz,2,4,33,4,89,1.0,0.3707865168539326,2.6561188312402497
US,PRO24csv:3g217qru2lz,3,3,33,4,89,0.75,0.3707865168539326,1.0042607073954908
US,PRO24csv:3g217qru2lz,4,6,33,6,89,1.0,0.3707865168539326,2.6561188312402497
US,PRO24csv:3g217qru2lz,8,5,33,5,89,1.0,0.3707865168539326,2.6561188312402497
US,PRO24csv:3g217qru2lz,16,4,33,4,89,1.0,0.3707865168539326,2.6561188312402497
US,PRO24csv:3g217qru2lz,32,5,33,7,89,0.7142857142857143,0.3707865168539326,0.8957197791322722
US,PRO24csv:3g217qru2lz,64,3,33,4,89,0.75,0.3707865168539326,1.0042607073954908
US,PRO24csv:4h5k8l3o8ql,0,4,32,4,90,1.0,0.35555555555555557,2.6967121188476004
US,PRO24csv:4h5k8l3o8ql,1,6,32,6,90,1.0,0.35555555555555557,2.6967121188476004
US,PRO24csv:4h5k8l3o8ql,2,4,32,4,90,1.0,0.35555555555555557,2.6967121188476004
US,PRO24csv:4h5k8l3o8ql,3,6,32,6,90,1.0,0.35555555555555557,2.6967121188476004
US,PRO24csv:4h5k8l3o8ql,4,5,32,5,90,1.0,0.35555555555555557,2.6967121188476004
US,PRO24csv:4h5k8l3o8ql,8,3,32,4,90,0.75,0.35555555555555557,1.0448539950028413
US,PRO24csv:4h5k8l3o8ql,16,3,32,4,90,0.75,0.35555555555555557,1.0448539950028413
US,PRO24csv:4h5k8l3o8ql,32,2,32,4,90,0.5,0.35555555555555557,0.3703642448067596
US,PRO24csv:4h5k8l3o8ql,64,6,32,6,90,1.0,0.35555555555555557,2.6967121188476004
US,PRO24csv:4pb2upqqkqm,0,4,20,4,89,1.0,0.2247191011235955,3.0826998347467653
US,PRO24csv:4pb2upqqkqm,1,5,20,5,89,1.0,0.2247191011235955,3.0826998347467653
US,PRO24csv:4pb2upqqkqm,2,3,20,4,89,0.75,0.2247191011235955,1.4308417109020064
US,PRO24csv:4pb2upqqkqm,3,4,20,5,89,0.8,0.2247191011235955,1.5979731942788389
US,PRO24csv:4pb2upqqkqm,4,5,20,6,89,0.8333333333333334,0.2247191011235955,1.723773526807626
US,PRO24csv:4pb2upqqkqm,8,5,20,6,89,0.8333333333333334,0.2247191011235955,1.723773526807626
US,PRO24csv:4pb2upqqkqm,16,3,20,4,89,0.75,0.2247191011235955,1.4308417109020064
US,PRO24csv:4pb2upqqkqm,32,6,20,6,89,1.0,0.2247191011235955,3.0826998347467653
US,PRO24csv:4pb2upqqkqm,64,3,20,4,89,0.75,0.2247191011235955,1.4308417109020064
US,PRO24csv:564mrv5ycy5,0,4,20,4,91,1.0,0.21978021978021978,3.099283567169061
US,PRO24csv:564mrv5ycy5,1,4,20,4,91,1.0,0.21978021978021978,3.099283567169061
US,PRO24csv:564mrv5ycy5,2,3,20,4,91,0.75,0.21978021978021978,1.4474254433243017
US,PRO24csv:564mrv5ycy5,3,4,20,5,91,0.8,0.21978021978021978,1.6145569267011344
US,PRO24csv:564mrv5ycy5,4,3,20,5,91,0.6,0.21978021978021978,1.0262827962640197
US,PRO24csv:564mrv5ycy5,8,3,20,4,91,0.75,0.21978021978021978,1.4474254433243017
US,PRO24csv:564mrv5ycy5,16,5,20,6,91,0.8333333333333334,0.21978021978021978,1.7403572592299212
US,PRO24csv:564mrv5ycy5,32,4,20,4,91,1.0,0.21978021978021978,3.099283567169061
US,PRO24csv:564mrv5ycy5,64,4,20,6,91,0.6666666666666666,0.21978021978021978,1.2036629924236775
US,PRO24csv:5og1wfe9qtq,0,7,16,7,90,1.0,0.17777777777777778,3.2502148947851532
US,PRO24csv:5og1wfe9qtq,1,7,16,7,90,1.0,0.17777777777777778,3.2502148947851532
US,PRO24csv:5og1wfe9qtq,2,4,16,4,90,1.0,0.17777777777777778,3.2502148947851532
US,PRO24csv:5og1wfe9qtq,3,3,16,4,90,0.75,0.17777777777777778,1.598356770940394
US,PRO24csv:5og1wfe9qtq,4,4,16,4,90,1.0,0.17777777777777778,3.2502148947851532
US,PRO24csv:5og1wfe9qtq,8,4,16,4,90,1.0,0.17777777777777778,3.2502148947851532
US,PRO24csv:5og1wfe9qtq,16,5,16,5,90,1.0,0.17777777777777778,3.2502148947851532
US,PRO24csv:5og1wfe9qtq,32,3,16,4,90,0.75,0.17777777777777778,1.598356770940394
US,PRO24csv:5og1wfe9qtq,64,4,16,4,90,1.0,0.17777777777777778,3.2502148947851532
US,PRO24csv:66g36yk7175,0,4,22,4,89,1.0,0.24719101123595505,3.0097037057037266
US,PRO24csv:66g36yk7175,1,4,22,4,89,1.0,0.24719101123595505,3.0097037057037266
US,PRO24csv:66g36yk7175,2,4,22,6,89,0.6666666666666666,0.24719101123595505,1.1140831309583432
US,PRO24csv:66g36yk7175,3,3,22,4,89,0.75,0.24719101123595505,1.3578455818589674
US,PRO24csv:66g36yk7175,4,6,22,7,89,0.8571428571428571,0.24719101123595505,1.7509263555410273
US,PRO24csv:66g36yk7175,8,2,22,4,89,0.5,0.24719101123595505,0.6833558316628858
US,PRO24csv:66g36yk7175,16,3,22,5,89,0.6,0.24719101123595505,0.9367029347986855
US,PRO24csv:66g36yk7175,32,2,22,4,89,0.5,0.24719101123595505,0.6833558316628858
US,PRO24csv:66g36yk7175,64,5,22,6,89,0.8333333333333334,0.24719101123595505,1.650777397764587
US,PRO24csv:6pp0jktp8ho,0,4,15,4,89,1.0,0.16853932584269662,3.286301307867775
US,PRO24csv:6pp0jktp8ho,1,5,15,7,89,0.7142857142857143,0.16853932584269662,1.5259022557597974
US,PRO24csv:6pp0jktp8ho,2,4,15,6,89,0.6666666666666666,0.16853932584269662,1.3906807331223918
US,PRO24csv:6pp0jktp8ho,3,1,15,4,89,0.25,0.16853932584269662,0.2854636836308526
US,PRO24csv:6pp0jktp8ho,4,3,15,4,89,0.75,0.16853932584269662,1.634443184023016
US,PRO24csv:6pp0jktp8ho,8,4,15,5,89,0.8,0.16853932584269662,1.8015746673998487
US,PRO24csv:6pp0jktp8ho,16,4,15,4,89,1.0,0.16853932584269662,3.286301307867775
US,PRO24csv:6pp0jktp8ho,32,2,15,5,89,0.4,0.16853932584269662,0.7066063306911345
US,PRO24csv:6pp0jktp8ho,64,2,15,5,89,0.4,0.16853932584269662,0.7066063306911345
US,PRO24csv:6usvh8m88kk,0,7,28,7,90,1.0,0.3111111111111111,2.819051207100882
US,PRO24csv:6usvh8m88kk,1,4,28,4,90,1.0,0.3111111111111111,2.819051207100882
US,PRO24csv:6usvh8m88kk,2,5,28,5,90,1.0,0.3111111111111111,2.819051207100882
US,PRO24csv:6usvh8m88kk,3,3,28,4,90,0.75,0.3111111111111111,1.167193083256123
US,PRO24csv:6usvh8m88kk,4,5,28,5,90,1.0,0.3111111111111111,2.819051207100882
US,PRO24csv:6usvh8m88kk,8,3,28,4,90,0.75,0.3111111111111111,1.167193083256123
US,PRO24csv:6usvh8m88kk,16,4,28,4,90,1.0,0.3111111111111111,2.819051207100882
US,PRO24csv:6usvh8m88kk,32,6,28,6,90,1.0,0.3111111111111111,2.819051207100882
US,PRO24csv:6usvh8m88kk,64,4,28,4,90,1.0,0.3111111111111111,2.819051207100882
US,PRO24csv:73tcuq3cj7z,0,4,5,4,89,1.0,0.056179775280898875,3.914024193180632
US,PRO24csv:73tcuq3cj7z,1,6,5,7,89,0.8571428571428571,0.056179775280898875,2.655246843017933
US,PRO24csv:73tcuq3cj7z,2,4,5,6,89,0.6666666666666666,0.056179775280898875,2.0184036184352485
US,PRO24csv:73tcuq3cj7z,3,3,5,4,89,0.75,0.056179775280898875,2.2621660693358727
US,PRO24csv:73tcuq3cj7z,4,2,5,4,89,0.5,0.056179775280898875,1.5876763191397911
US,PRO24csv:73tcuq3cj7z,8,5,5,5,89,1.0,0.056179775280898875,3.914024193180632
US,PRO24csv:73tcuq3cj7z,16,4,5,4,89,1.0,0.056179775280898875,3.914024193180632
US,PRO24csv:73tcuq3cj7z,32,4,5,5,89,0.8,0.056179775280898875,2.4292975527127054
US,PRO24csv:73tcuq3cj7z,64,5,5,5,89,1.0,0.056179775280898875,3.914024193180632
US,PRO24csv:77vays5mhz3,0,3,33,3,174,1.0,0.1896551724137931,3.205515592485411
US,PRO24csv:77vays5mhz3,1,12,33,12,174,1.0,0.1896551724137931,3.205515592485411
US,PRO24csv:77vays5mhz3,2,11,33,11,174,1.0,0.1896551724137931,3.205515592485411
US,PRO24csv:77vays5mhz3,3,7,33,7,174,1.0,0.1896551724137931,3.205515592485411
US,PRO24csv:77vays5mhz3,4,11,33,12,174,0.9166666666666666,0.1896551724137931,2.2621618455452084
US,PRO24csv:77vays5mhz3,8,6,33,8,174,0.75,0.1896551724137931,1.553657468640652
US,PRO24csv:77vays5mhz3,16,6,33,7,174,0.8571428571428571,0.1896551724137931,1.9467382423227115
US,PRO24csv:77vays5mhz3,32,6,33,7,174,0.8571428571428571,0.1896551724137931,1.9467382423227115
US,PRO24csv:77vays5mhz3,64,4,33,4,174,1.0,0.1896551724137931,3.205515592485411
US,PRO24csv:7ccccj12588,0,4,10,4,89,1.0,0.11235955056179775,3.540422833435686
US,PRO24csv:7ccccj12588,1,5,10,5,89,1.0,0.11235955056179775,3.540422833435686
US,PRO24csv:7ccccj12588,2,6,10,6,89,1.0,0.11235955056179775,3.540422833435686
US,PRO24csv:7ccccj12588,3,4,10,5,89,0.8,0.11235955056179775,2.0556961929677597
US,PRO24csv:7ccccj12588,4,4,10,6,89,0.6666666666666666,0.11235955056179775,1.6448022586903028
US,PRO24csv:7ccccj12588,8,2,10,5,89,0.4,0.11235955056179775,0.9607278562590458
US,PRO24csv:7ccccj12588,16,2,10,5,89,0.4,0.11235955056179775,0.9607278562590458
US,PRO24csv:7ccccj12588,32,2,10,4,89,0.5,0.11235955056179775,1.2140749593948454
US,PRO24csv:7ccccj12588,64,0,10,4,89,0.0,0.11235955056179775,-1.1122729146459953
US,PRO24csv:7v654jfw7vr,0,6,21,6,89,1.0,0.23595505617977527,3.045722523129278
US,PRO24csv:7v654jfw7vr,1,2,21,4,89,0.5,0.23595505617977527,0.7193746490884373
US,PRO24csv:7v654jfw7vr,2,5,21,5,89,1.0,0.23595505617977527,3.045722523129278
US,PRO24csv:7v654jfw7vr,3,3,21,4,89,0.75,0.23595505617977527,1.393864399284519
US,PRO24csv:7v654jfw7vr,4,7,21,7,89,1.0,0.23595505617977527,3.045722523129278
US,PRO24csv:7v654jfw7vr,8,3,21,4,89,0.75,0.23595505617977527,1.393864399284519
US,PRO24csv:7v654jfw7vr,16,3,21,5,89,0.6,0.23595505617977527,0.9727217522242371
US,PRO24csv:7v654jfw7vr,32,4,21,4,89,1.0,0.23595505617977527,3.045722523129278
US,PRO24csv:7v654jfw7vr,64,5,21,5,89,1.0,0.23595505617977527,3.045722523129278
US,PRO24csv:82peulhnbvd,0,11,22,11,175,1.0,0.12571428571428572,3.473234280720755
US,PRO24csv:82peulhnbvd,1,6,22,6,175,1.0,0.12571428571428572,3.473234280720755
US,PRO24csv:82peulhnbvd,2,1,22,2,175,0.5,0.12571428571428572,1.146886406679914
US,PRO24csv:82peulhnbvd,3,6,22,7,175,0.8571428571428571,0.12571428571428572,2.2144569305580557
US,PRO24csv:82peulhnbvd,4,4,22,6,175,0.6666666666666666,0.12571428571428572,1.5776137059753714
US,PRO24csv:82peulhnbvd,8,4,22,4,175,1.0,0.12571428571428572,3.473234280720755
US,PRO24csv:82peulhnbvd,16,5,22,9,175,0.5555555555555556,0.12571428571428572,1.2865967055617762
US,PRO24csv:82peulhnbvd,32,7,22,8,175,0.875,0.12571428571428572,2.297235787055922
US,PRO24csv:82peulhnbvd,64,9,22,12,175,0.75,0.12571428571428572,1.8213761568759956
US,PRO24csv:8self43ehpo,0,4,17,4,57,1.0,0.2982456140350877,2.8558008915856297
US,PRO24csv:8self43ehpo,1,2,17,2,57,1.0,0.2982456140350877,2.8558008915856297
US,PRO24csv:8self43ehpo,2,3,17,3,57,1.0,0.2982456140350877,2.8558008915856297
US,PRO24csv:8self43ehpo,3,1,17,1,57,1.0,0.2982456140350877,2.8558008915856297
US,PRO24csv:8self43ehpo,4,1,17,1,57,1.0,0.2982456140350877,2.8558008915856297
